t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),F1(t),F2(t)
2.819998,3.636,-10,2.019999,0,4.039998,0,1.432624,0
2.839998,3.6764,-10,2.019999,0,4.039998,0,1.422535,0
2.859998,3.7168,-10,2.019999,0,4.039998,0,1.412588,0
2.879998,3.7572,-10,2.019999,0,4.039998,0,1.402778,0
2.899998,3.7976,-10,2.019999,0,4.039998,0,1.393104,0
2.919998,3.838,-10,2.019999,0,4.039998,0,1.383562,0
2.939998,3.8784,-10,2.019999,0,4.039998,0,1.37415,0
2.959998,3.9188,-10,2.019999,0,4.039998,0,1.364865,0
2.979998,3.9592,-10,2.019999,0,4.039998,0,1.355705,0
2.999998,3.9996,-10,2.019999,0,4.039998,0,1.346667,0
3.019998,4.04,-10,2.019999,0,4.039998,0,1.337749,0
3.039998,4.0804,-10,2.019999,0,4.039998,0,1.328948,0
3.059998,4.1208,-10,2.019999,0,4.039998,0,1.320262,0
3.079998,4.161201,-10,2.019999,0,4.039998,0,1.311688,0
3.099998,4.201601,-10,2.019999,0,4.039998,0,1.303226,0
3.119998,4.242001,-10,2.019999,0,4.039998,0,1.294872,0
3.139998,4.282401,-10,2.019999,0,4.039998,0,1.286624,0
3.159998,4.322801,-10,2.019999,0,4.039998,0,1.278481,0
3.179998,4.363201,-10,2.019999,0,4.039998,0,1.27044,0
3.199998,4.403601,-10,2.019999,0,4.039998,0,1.2625,0
3.219998,4.444001,-10,2.019999,0,4.039998,0,1.254659,0
3.239998,4.484401,-10,2.019999,0,4.039998,0,1.246914,0
3.259998,4.524801,-10,2.019999,0,4.039998,0,1.239264,0
3.279998,4.565201,-10,2.019999,0,4.039998,0,1.231707,0
3.299998,4.605601,-10,2.019999,0,4.039998,0,1.224243,0
3.319998,4.646001,-10,2.019999,0,4.039998,0,1.216868,0
3.339998,4.686401,-10,2.019999,0,4.039998,0,1.209581,0
3.359998,4.726801,-10,2.019999,0,4.039998,0,1.202381,0
3.379997,4.767201,-10,2.019999,0,4.039998,0,1.195266,0
3.399997,4.807601,-10,2.019999,0,4.039998,0,1.188236,0
3.419997,4.848001,-10,2.019999,0,4.039998,0,1.181287,0
3.439997,4.888401,-10,2.019999,0,4.039998,0,1.174419,0
3.459997,4.928801,-10,2.019999,0,4.039998,0,1.16763,0
3.479997,4.969201,-10,2.019999,0,4.039998,0,1.16092,0
3.499997,5.009601,-10,2.019999,0,4.039998,0,1.154286,0
3.519997,5.050001,-10,2.019999,0,4.039998,0,1.147727,0
3.539997,5.090401,-10,2.019999,0,4.039998,0,1.141243,0
3.559997,5.130801,-10,2.019999,0,4.039998,0,1.134832,0
3.579997,5.171201,-10,2.019999,0,4.039998,0,1.128492,0
3.599997,5.211601,-10,2.019999,0,4.039998,0,1.122222,0
3.619997,5.252001,-10,2.019999,0,4.039998,0,1.116022,0
3.639997,5.292401,-10,2.019999,0,4.039998,0,1.10989,0
3.659997,5.332801,-10,2.019999,0,4.039998,0,1.103825,0
3.679997,5.373201,-10,2.019999,0,4.039998,0,1.097826,0
3.699997,5.413601,-10,2.019999,0,4.039998,0,1.091892,0
3.719997,5.454001,-10,2.019999,0,4.039998,0,1.086022,0
3.739997,5.494401,-10,2.019999,0,4.039998,0,1.080214,0
3.759997,5.534801,-10,2.019999,0,4.039998,0,1.074468,0
3.779997,5.575202,-10,2.019999,0,4.039998,0,1.068783,0
3.799997,5.615602,-10,2.019999,0,4.039998,0,1.063158,0
