t,x1(t),x2(t),y1(t),y2(t),def(t)
10.6600542068481,-9.23816680908203,-10.7381277084351,0.774795353412628,0.774238586425781,0.0425659061816599
10.6800546646118,-9.24155426025391,-10.741527557373,0.774962246417999,0.774402856826782,0.0431329872136019
10.7000551223755,-9.24477291107178,-10.7447490692139,0.775123476982117,0.774561583995819,0.0436718325614927
10.7200555801392,-9.24785614013672,-10.7477560043335,0.775278747081757,0.774714350700378,0.0441880142587329
10.7400560379028,-9.25069332122803,-10.7506551742554,0.77542781829834,0.774860799312592,0.0446630560585109
10.7600564956665,-9.25337791442871,-10.7533512115479,0.775570213794708,0.775000631809235,0.0451125628644969
10.7800569534302,-9.25588703155518,-10.7558631896973,0.775705695152283,0.775133550167084,0.0455327074505154
10.8000574111938,-9.25821685791016,-10.7581930160522,0.775833964347839,0.77525931596756,0.0459228523321426
10.8200578689575,-9.2603645324707,-10.7603406906128,0.775954782962799,0.775377571582794,0.0462825156969692
10.8400583267212,-9.2623291015625,-10.7623052597046,0.776067852973938,0.775488138198853,0.0466115379685238
10.8600587844849,-9.26414775848389,-10.7640476226807,0.776172995567322,0.775590717792511,0.0469161312366229
10.8800592422485,-9.26571273803711,-10.7656736373901,0.776269972324371,0.775685131549835,0.0471782878382861
10.9000597000122,-9.26711654663086,-10.76708984375,0.776358544826508,0.775771141052246,0.0474134624539368
10.9200601577759,-9.26833820343018,-10.7683143615723,0.776438593864441,0.775848627090454,0.0476181465804039
10.9400606155396,-9.26937389373779,-10.7693500518799,0.776509940624237,0.77591747045517,0.0477916989154919
10.9600610733032,-9.27022266387939,-10.7701988220215,0.776572465896606,0.775977551937103,0.0479339636297628
10.9800615310669,-9.27088260650635,-10.7708587646484,0.776626169681549,0.776028633117676,0.0480446218295747
11.0000619888306,-9.27139282226563,-10.7712926864624,0.776670813560486,0.776070773601532,0.0481302000737953
11.0200624465942,-9.27164554595947,-10.7716064453125,0.776706397533417,0.776103854179382,0.0481726948672991
11.0400629043579,-9.2717342376709,-10.7717065811157,0.776732921600342,0.776127815246582,0.0481877235519695
11.0600633621216,-9.27163791656494,-10.771614074707,0.776750326156616,0.776142716407776,0.0481717776533565
11.0800638198853,-9.27139282226563,-10.7712926864624,0.77675861120224,0.776148498058319,0.048130905943589
11.1000642776489,-9.27089023590088,-10.7708511352539,0.776757895946503,0.776145219802856,0.0480469530728986
