t,x(t),v(t),F(t) (added)
8.860013,-8.394345,-5.519192,839.4345
8.880013,-8.501371,-5.351305,850.1371
8.900014,-8.604997,-5.181278,860.4997
8.920014,-8.70518,-5.009178,870.518
8.940015,-8.801882,-4.835074,880.1882
8.960015,-8.895062,-4.659036,889.5062
8.980016,-8.984685,-4.481135,898.4685
9.000016,-9.070714,-4.301441,907.0714
9.020017,-9.153114,-4.120027,915.3114
9.040017,-9.231853,-3.936965,923.1854
9.060018,-9.3069,-3.752328,930.69
9.080018,-9.378223,-3.56619,937.8223
9.100019,-9.445796,-3.378625,944.5796
9.120019,-9.50959,-3.189709,950.959
9.140019,-9.56958,-2.999518,956.958
9.16002,-9.625743,-2.808126,962.5743
9.18002,-9.678055,-2.615611,967.8055
9.200021,-9.726496,-2.42205,972.6496
9.220021,-9.771046,-2.22752,977.1046
9.240022,-9.811687,-2.032099,981.1688
9.260022,-9.848405,-1.835865,984.8405
9.280023,-9.881183,-1.638897,988.1183
9.300023,-9.910008,-1.441274,991.0009
9.320024,-9.93487,-1.243073,993.487
9.340024,-9.955757,-1.044376,995.5757
9.360024,-9.972662,-0.845261,997.2662
9.380025,-9.985579,-0.6458078,998.5579
9.400025,-9.9945,-0.4460962,999.45
9.420026,-9.999424,-0.2462062,999.9424
9.440026,-10.00035,-0.04621777,1000.035
9.460027,-9.997272,0.1537892,999.7272
9.480027,-9.990198,0.3537346,999.0198
9.500028,-9.979127,0.5535386,997.9127
9.520028,-9.964065,0.7531211,996.4064
9.540029,-9.945017,0.9524024,994.5017
9.560029,-9.92199,1.151303,992.199
9.580029,-9.894996,1.349743,989.4996
9.60003,-9.864043,1.547642,986.4043
9.62003,-9.829144,1.744923,982.9144
9.640031,-9.790315,1.941506,979.0315
9.660031,-9.747568,2.137313,974.7568
9.680032,-9.700923,2.332264,970.0923
9.700032,-9.650397,2.526282,965.0397
9.720033,-9.596011,2.71929,959.6011
9.740033,-9.537786,2.911211,953.7786
9.760034,-9.475747,3.101966,947.5747
9.780034,-9.409918,3.291481,940.9918
9.800035,-9.340324,3.47968,934.0325
9.820035,-9.266994,3.666486,926.6995
9.840035,-9.189958,3.851826,918.9958
9.860036,-9.109245,4.035625,910.9246
9.880036,-9.024889,4.21781,902.4889
9.900037,-8.936923,4.398307,893.6923
9.920037,-8.845382,4.577046,884.5381
9.940038,-8.750302,4.753953,875.0302
9.960038,-8.651723,4.928959,865.1723
9.980039,-8.549683,5.101994,854.9683
10.00004,-8.444222,5.272988,844.4222
10.02004,-8.335385,5.441872,833.5385
10.04004,-8.223214,5.60858,822.3214
10.06004,-8.107753,5.773044,810.7753
10.08004,-7.989049,5.935199,798.9049
10.10004,-7.867149,6.09498,786.715
10.12004,-7.742103,6.252323,774.2103
10.14004,-7.61396,6.407165,761.396
10.16004,-7.482771,6.559444,748.2771
10.18004,-7.348589,6.7091,734.8589
10.20004,-7.211468,6.856071,721.1468
10.22004,-7.071462,7.000301,707.1462
10.24004,-6.928627,7.14173,692.8627
10.26005,-6.783021,7.280303,678.3021
10.28005,-6.634702,7.415963,663.4702
10.30005,-6.483728,7.548657,648.3729
10.32005,-6.330162,7.678332,633.0162
10.34005,-6.174063,7.804935,617.4063
10.36005,-6.015494,7.928416,601.5494
10.38005,-5.85452,8.048726,585.452
10.40005,-5.691204,8.165816,569.1204
10.42005,-5.525611,8.27964,552.5611
10.44005,-5.357808,8.390152,535.7808
10.46005,-5.187862,8.497308,518.7862
10.48005,-5.015841,8.601065,501.584
10.50005,-4.841813,8.701382,484.1813
10.52005,-4.665849,8.798218,466.5849
10.54005,-4.488018,8.891535,448.8018
10.56005,-4.308392,8.981296,430.8392
10.58005,-4.127043,9.067464,412.7043
10.60005,-3.944043,9.150004,394.4043
10.62005,-3.759465,9.228886,375.9465
10.64005,-3.573384,9.304075,357.3383
10.66005,-3.385873,9.375543,338.5873
10.68005,-3.197008,9.44326,319.7008
10.70006,-3.006864,9.5072,300.6864
10.72006,-2.815517,9.567337,281.5517
10.74006,-2.623044,9.623648,262.3044
10.76006,-2.429522,9.676108,242.9522
10.78006,-2.235028,9.724699,223.5028
10.80006,-2.03964,9.7694,203.964
10.82006,-1.843436,9.810192,184.3436
10.84006,-1.646495,9.847061,164.6495
10.86006,-1.448895,9.879991,144.8895
10.88006,-1.250715,9.908969,125.0715
10.90006,-1.052036,9.933983,105.2036
10.92006,-0.8529353,9.955024,85.29353
10.94006,-0.6534936,9.972082,65.34937
10.96006,-0.4537906,9.985152,45.37906
10.98006,-0.253906,9.994228,25.3906
11.00006,-0.05391991,9.999307,5.391991
11.02006,0.1460878,10.00039,-14.60878
11.04006,0.3460371,9.997463,-34.60371
11.06006,0.5458479,9.990542,-54.58479
11.08006,0.7454404,9.979626,-74.54404
11.10006,0.9447348,9.964717,-94.47347
11.12006,1.143651,9.945822,-114.3651
11.14007,1.34211,9.922949,-134.211
11.16007,1.540032,9.896107,-154.0032
11.18007,1.737338,9.865306,-173.7338
11.20007,1.93395,9.830559,-193.395
11.22007,2.129787,9.79188,-212.9787
11.24007,2.324773,9.749284,-232.4773
11.26007,2.518829,9.702788,-251.8829
11.28007,2.711877,9.652411,-271.1877
11.30007,2.90384,9.598174,-290.384
11.32007,3.094642,9.540097,-309.4642
11.34007,3.284206,9.478205,-328.4206
11.36007,3.472456,9.41252,-347.2456
11.38007,3.659318,9.343071,-365.9318
11.40007,3.844716,9.269885,-384.4716
11.42007,4.028575,9.19299,-402.8575
11.44007,4.210824,9.112419,-421.0824
11.46007,4.391388,9.028203,-439.1388
11.48007,4.570195,8.940375,-457.0195
11.50007,4.747175,8.848971,-474.7175
11.52007,4.922256,8.754028,-492.2256
11.54007,5.095367,8.655583,-509.5367
11.56007,5.26644,8.553676,-526.644
11.58008,5.435407,8.448347,-543.5407
11.60008,5.6022,8.339639,-560.22
11.62008,5.766752,8.227594,-576.6752
11.64008,5.928997,8.112259,-592.8997
11.66008,6.088871,7.993679,-608.887
11.68008,6.246308,7.871902,-624.6309
11.70008,6.401248,7.746975,-640.1248
11.72008,6.553627,7.61895,-655.3627
11.74008,6.703384,7.487878,-670.3384
11.76008,6.850461,7.35381,-685.0461
11.78008,6.994797,7.216801,-699.4797
11.80008,7.136335,7.076905,-713.6335
11.82008,7.275019,6.934178,-727.5019
11.84008,7.410792,6.788678,-741.0792
11.86008,7.543602,6.640462,-754.3602
11.88008,7.673393,6.48959,-767.3394
11.90008,7.800116,6.336123,-780.0115
11.92008,7.923718,6.18012,-792.3718
11.94008,8.044151,6.021646,-804.4152
11.96008,8.161366,5.860763,-816.1367
11.98008,8.275317,5.697536,-827.5317
12.00008,8.385958,5.532029,-838.5958
12.02009,8.493244,5.36431,-849.3244
12.04009,8.597133,5.194445,-859.7133
12.06009,8.697583,5.022502,-869.7583
12.08009,8.794554,4.848551,-879.4554
12.10009,8.888007,4.67266,-888.8007
12.12009,8.977905,4.4949,-897.7905
12.14009,9.064212,4.315341,-906.4212
12.16009,9.146893,4.134057,-914.6893
12.18009,9.225915,3.951119,-922.5915
12.20009,9.301247,3.766601,-930.1246
