t,z(t),v(t),F(t) (added)
12.8001,-3.081321,0.670638,308.132
12.8201,-3.066675,0.7322644,306.6675
12.8401,-3.050803,0.7935979,305.0803
12.8601,-3.033711,0.854614,303.3711
12.88011,-3.015405,0.9152882,301.5405
12.90011,-2.995893,0.9755962,299.5893
12.92011,-2.975183,1.035514,297.5183
12.94011,-2.953283,1.095018,295.3282
12.96011,-2.930201,1.154083,293.0201
12.98011,-2.905947,1.212687,290.5947
13.00011,-2.880531,1.270806,288.0531
13.02011,-2.853962,1.328417,285.3962
13.04011,-2.826252,1.385496,282.6252
13.06011,-2.797412,1.442021,279.7412
13.08011,-2.767452,1.49797,276.7452
13.10011,-2.736386,1.553319,273.6386
13.12011,-2.704225,1.608046,270.4225
13.14011,-2.670982,1.662131,267.0982
13.16011,-2.636671,1.71555,263.6671
13.18011,-2.601306,1.768284,260.1306
13.20011,-2.564899,1.82031,256.4899
13.22011,-2.527467,1.871608,252.7467
13.24011,-2.489024,1.922157,248.9024
13.26011,-2.449585,1.971938,244.9585
13.28011,-2.409167,2.02093,240.9167
13.30011,-2.367785,2.069113,236.7784
13.32012,-2.325455,2.116469,232.5455
13.34012,-2.282196,2.162978,228.2196
13.36012,-2.238023,2.208622,223.8023
13.38012,-2.192955,2.253382,219.2955
13.40012,-2.147011,2.297241,214.701
13.42012,-2.100207,2.340181,210.0207
13.44012,-2.052563,2.382185,205.2563
13.46012,-2.004098,2.423236,200.4098
13.48012,-1.954832,2.463318,195.4832
13.50012,-1.904784,2.502415,190.4784
13.52012,-1.853974,2.540511,185.3974
13.54012,-1.802422,2.57759,180.2422
13.56012,-1.750149,2.613639,175.0149
13.58012,-1.697176,2.648642,169.7176
13.60012,-1.643524,2.682585,164.3524
13.62012,-1.589215,2.715456,158.9215
13.64012,-1.534271,2.74724,153.427
13.66012,-1.478712,2.777925,147.8712
13.68012,-1.422562,2.807499,142.2562
13.70012,-1.365843,2.835951,136.5843
13.72012,-1.308578,2.863267,130.8578
13.74012,-1.250789,2.889439,125.0789
13.76013,-1.1925,2.914455,119.25
13.78013,-1.133734,2.938305,113.3734
13.80013,-1.074514,2.960979,107.4514
13.82013,-1.014865,2.98247,101.4865
13.84013,-0.9548095,3.002767,95.48095
13.86013,-0.8943722,3.021863,89.43723
13.88013,-0.8335772,3.03975,83.35772
13.90013,-0.7724488,3.056422,77.24488
13.92013,-0.7110114,3.071871,71.10114
13.94013,-0.6492895,3.086091,64.92896
13.96013,-0.587308,3.099077,58.7308
13.98013,-0.5250915,3.110823,52.50915
14.00013,-0.462665,3.121325,46.2665
14.02013,-0.4000534,3.130578,40.00534
14.04013,-0.3372819,3.138579,33.72818
14.06013,-0.2743753,3.145325,27.43753
14.08013,-0.2113591,3.150812,21.13591
14.10013,-0.1482583,3.15504,14.82583
14.12013,-0.08509824,3.158005,8.509824
14.14013,-0.0219041,3.159707,2.19041
14.16013,0.04129879,3.160145,-4.129879
14.18013,0.1044852,3.159319,-10.44852
14.20014,0.1676297,3.157229,-16.76298
14.22014,0.2307073,3.153877,-23.07073
14.24014,0.2936925,3.149262,-29.36925
14.26014,0.3565603,3.143389,-35.65603
14.28014,0.4192854,3.136257,-41.92854
14.30014,0.4818429,3.127872,-48.18429
14.32014,0.5442076,3.118235,-54.42076
14.34014,0.6063546,3.107351,-60.63546
14.36014,0.6682591,3.095224,-66.8259
14.38014,0.7298962,3.081858,-72.98962
14.40014,0.7912415,3.067261,-79.12415
14.42014,0.8522702,3.051436,-85.22702
14.44014,0.912958,3.03439,-91.2958
14.46014,0.9732806,3.016131,-97.32806
14.48014,1.033214,2.996665,-103.3214
14.50014,1.092734,2.976001,-109.2734
14.52014,1.151817,2.954147,-115.1817
14.54014,1.210439,2.93111,-121.0439
14.56014,1.268577,2.906902,-126.8577
14.58014,1.326208,2.88153,-132.6208
14.60014,1.383308,2.855006,-138.3308
14.62014,1.439855,2.82734,-143.9855
14.64015,1.495826,2.798543,-149.5826
14.66015,1.551198,2.768626,-155.1198
14.68015,1.60595,2.737602,-160.595
14.70015,1.66006,2.705483,-166.006
14.72015,1.713506,2.672282,-171.3506
14.74015,1.766266,2.638012,-176.6266
14.76015,1.818319,2.602687,-181.8319
14.78015,1.869646,2.56632,-186.9646
14.80015,1.920224,2.528927,-192.0224
14.82015,1.970035,2.490523,-197.0035
14.84015,2.019057,2.451122,-201.9057
14.86015,2.067272,2.410741,-206.7272
14.88015,2.11466,2.369396,-211.466
14.90015,2.161202,2.327102,-216.1202
14.92015,2.20688,2.283878,-220.688
14.94015,2.251674,2.239741,-225.1674
14.96015,2.295568,2.194707,-229.5569
14.98015,2.338544,2.148796,-233.8544
15.00015,2.380585,2.102025,-238.0585
15.02015,2.421673,2.054414,-242.1673
15.04015,2.461793,2.00598,-246.1793
15.06015,2.500928,1.956744,-250.0928
15.08016,2.539063,1.906726,-253.9063
15.10016,2.576181,1.855944,-257.6181
15.12016,2.61227,1.804421,-261.227
15.14016,2.647313,1.752175,-264.7313
15.16016,2.681298,1.699229,-268.1298
15.18016,2.71421,1.645603,-271.421
15.20016,2.746037,1.591319,-274.6036
15.22016,2.776764,1.536398,-277.6765
15.24016,2.806382,1.480863,-280.6382
15.26016,2.834876,1.424735,-283.4876
15.28016,2.862237,1.368038,-286.2237
15.30016,2.888453,1.310793,-288.8453
15.32016,2.913513,1.253024,-291.3513
15.34016,2.937408,1.194754,-293.7408
15.36016,2.960128,1.136006,-296.0128
15.38016,2.981664,1.076803,-298.1664
15.40016,3.002008,1.01717,-300.2008
15.42016,3.02115,0.9571298,-302.115
15.44016,3.039084,0.8967068,-303.9084
15.46016,3.055803,0.8359251,-305.5803
15.48016,3.071299,0.7748091,-307.1299
15.50016,3.085567,0.7133831,-308.5567
15.52017,3.0986,0.6516718,-309.86
15.54017,3.110394,0.5896997,-311.0394
15.56017,3.120944,0.5274919,-312.0944
15.58017,3.130245,0.465073,-313.0245
15.60017,3.138295,0.4024681,-313.8295
15.62017,3.145089,0.3397022,-314.5089
15.64017,3.150625,0.2768004,-315.0625
15.66017,3.154901,0.2137879,-315.4901
15.68017,3.157914,0.1506899,-315.7914
15.70017,3.159665,0.08753164,-315.9665
15.72017,3.160152,0.02433834,-316.0152
15.74017,3.159375,-0.0388647,-315.9375
15.76017,3.157334,-0.1020522,-315.7334
15.78017,3.15403,-0.1651989,-315.403
15.80017,3.149464,-0.2282794,-314.9464
15.82017,3.143639,-0.2912687,-314.3639
15.84017,3.136556,-0.3541415,-313.6556
15.86017,3.128218,-0.4168726,-312.8218
15.88017,3.11863,-0.479437,-311.863
15.90017,3.107794,-0.5418096,-310.7794
15.92017,3.095714,-0.6039654,-309.5714
15.94018,3.082397,-0.6658797,-308.2397
15.96018,3.067846,-0.7275276,-306.7846
15.98018,3.052069,-0.7888845,-305.2069
16.00018,3.03507,-0.8499259,-303.507
16.02018,3.016858,-0.9106273,-301.6858
16.04018,2.997438,-0.9709644,-299.7438
16.06018,2.97682,-1.030913,-297.682
16.08018,2.955011,-1.09045,-295.5011
16.10018,2.93202,-1.14955,-293.202
16.12018,2.907856,-1.20819,-290.7856
16.14018,2.882529,-1.266347,-288.253
16.16018,2.85605,-1.323998,-285.6049
16.18018,2.828427,-1.381119,-282.8427
16.20018,2.799673,-1.437688,-279.9673
16.22018,2.7698,-1.493681,-276.98
16.24018,2.738818,-1.549077,-273.8818
16.26018,2.706741,-1.603853,-270.6741
16.28018,2.673581,-1.657988,-267.3581
16.30018,2.639352,-1.71146,-263.9352
16.32018,2.604067,-1.764247,-260.4067
16.34018,2.56774,-1.816328,-256.774
16.36018,2.530387,-1.867683,-253.0387
16.38018,2.492021,-1.91829,-249.2021
16.40018,2.452658,-1.968131,-245.2658
16.42019,2.412314,-2.017184,-241.2314
16.44019,2.371006,-2.06543,-237.1006
16.46019,2.328749,-2.11285,-232.8749
16.48019,2.28556,-2.159425,-228.556
16.50019,2.241457,-2.205137,-224.1458
16.52019,2.196458,-2.249966,-219.6458
16.54019,2.15058,-2.293895,-215.058
16.56019,2.103842,-2.336907,-210.3842
16.58019,2.056262,-2.378983,-205.6262
16.60019,2.00786,-2.420109,-200.786
16.62019,1.958655,-2.460266,-195.8655
16.64019,1.908666,-2.499439,-190.8666
16.66019,1.857914,-2.537612,-185.7914
16.68019,1.806418,-2.574771,-180.6418
16.70019,1.7542,-2.610899,-175.42
16.72019,1.701281,-2.645983,-170.1281
16.74019,1.647681,-2.680009,-164.7681
16.76019,1.593421,-2.712962,-159.3421
16.78019,1.538525,-2.744831,-153.8525
16.80019,1.483013,-2.775601,-148.3013
16.82019,1.426908,-2.805261,-142.6908
16.84019,1.370232,-2.8338,-137.0231
16.8602,1.313007,-2.861204,-131.3008
16.8802,1.255258,-2.887464,-125.5258
16.9002,1.197007,-2.91257,-119.7007
16.9202,1.138277,-2.93651,-113.8277
16.9402,1.079091,-2.959275,-107.9091
16.9602,1.019474,-2.980857,-101.9474
16.9802,0.959449,-3.001247,-95.9449
17.0002,0.8990403,-3.020436,-89.90403
17.0202,0.838272,-3.038416,-83.82719
17.0402,0.7771683,-3.055182,-77.71684
17.0602,0.7157539,-3.070725,-71.57539
17.0802,0.654053,-3.08504,-65.4053
17.1002,0.5920906,-3.098121,-59.20906
17.1202,0.5298914,-3.109963,-52.98914
17.1402,0.4674802,-3.120561,-46.74802
17.1602,0.404882,-3.129911,-40.4882
17.1802,0.3421218,-3.138008,-34.21218
17.2002,0.2792248,-3.144851,-27.92248
17.2202,0.2162161,-3.150435,-21.6216
17.2402,0.1531209,-3.15476,-15.31209
17.2602,0.08996443,-3.157822,-8.996444
17.2802,0.02677201,-3.159621,-2.677201
17.30021,-0.03643113,-3.160157,3.643113
17.32021,-0.0996197,-3.159428,9.96197
17.34021,-0.1627684,-3.157436,16.27684
17.36021,-0.225852,-3.154181,22.58521
17.38021,-0.2888453,-3.149663,28.88453
17.40021,-0.351723,-3.143887,35.1723
17.42021,-0.4144601,-3.136852,41.44601
17.44021,-0.4770313,-3.128563,47.70313
17.46021,-0.5394118,-3.119022,53.94118
17.48021,-0.6015764,-3.108234,60.15765
17.50021,-0.6635005,-3.096203,66.35005
17.52021,-0.7251592,-3.082933,72.51591
17.54021,-0.7865278,-3.068429,78.65278
17.56021,-0.8475817,-3.052699,84.75817
17.58021,-0.9082967,-3.035747,90.82967
17.60021,-0.9686483,-3.017581,96.86483
17.62021,-1.028612,-2.998209,102.8613
17.64021,-1.088165,-2.977636,108.8165
17.66021,-1.147283,-2.955873,114.7283
17.68021,-1.205941,-2.932927,120.5941
17.70021,-1.264117,-2.908808,126.4117
17.72021,-1.321788,-2.883526,132.1788
17.74022,-1.37893,-2.85709,137.893
17.76022,-1.43552,-2.829512,143.552
17.78022,-1.491536,-2.800801,149.1536
17.80022,-1.546955,-2.770971,154.6955
17.82022,-1.601756,-2.740031,160.1756
17.84022,-1.655916,-2.707996,165.5916
17.86022,-1.709413,-2.674878,170.9413
17.88022,-1.762227,-2.64069,176.2227
17.90022,-1.814336,-2.605445,181.4336
17.92022,-1.865719,-2.569159,186.5719
17.94022,-1.916356,-2.531844,191.6356
17.96022,-1.966226,-2.493517,196.6226
17.98022,-2.01531,-2.454192,201.531
18.00022,-2.063588,-2.413886,206.3588
18.02022,-2.11104,-2.372615,211.104
18.04022,-2.157648,-2.330394,215.7648
18.06022,-2.203393,-2.287241,220.3393
18.08022,-2.248256,-2.243173,224.8256
18.10022,-2.292221,-2.198208,229.2221
18.12022,-2.335268,-2.152364,233.5268
18.14022,-2.377381,-2.105658,237.7381
18.16022,-2.418543,-2.058111,241.8543
18.18023,-2.458738,-2.00974,245.8738
18.20023,-2.497949,-1.960565,249.7949
18.22023,-2.536161,-1.910606,253.6161
18.24023,-2.573359,-1.859883,257.3359
18.26023,-2.609527,-1.808416,260.9527
18.28023,-2.644652,-1.756225,264.4652
18.30023,-2.678718,-1.703332,267.8718
18.32023,-2.711714,-1.649758,271.1714
18.34023,-2.743624,-1.595524,274.3624
18.36023,-2.774437,-1.540651,277.4437
18.38023,-2.80414,-1.485162,280.414
18.40023,-2.832722,-1.42908,283.2722
18.42023,-2.86017,-1.372425,286.017
18.44023,-2.886475,-1.315222,288.6475
18.46023,-2.911624,-1.257492,291.1624
18.48023,-2.93561,-1.19926,293.5609
18.50023,-2.958421,-1.140548,295.842
18.52023,-2.980048,-1.081379,298.0048
18.54023,-3.000484,-1.021778,300.0484
18.56023,-3.019719,-0.9617684,301.9719
18.58023,-3.037747,-0.901374,303.7747
18.60023,-3.054559,-0.8406191,305.4559
18.62024,-3.07015,-0.7795279,307.015
18.64024,-3.084512,-0.7181249,308.4512
18.66024,-3.097641,-0.6564347,309.7641
18.68024,-3.109531,-0.5944818,310.9531
18.70024,-3.120177,-0.5322912,312.0177
18.72024,-3.129574,-0.4698877,312.9574
18.74024,-3.13772,-0.4072962,313.772
18.76024,-3.144611,-0.3445418,314.4611
18.78024,-3.150244,-0.2816496,315.0244
18.80024,-3.154617,-0.2186447,315.4617
18.82024,-3.157728,-0.1555524,315.7728
18.84024,-3.159576,-0.09239784,315.9576
18.86024,-3.16016,-0.02920633,316.016
18.88024,-3.15948,0.03399687,315.948
18.90024,-3.157536,0.09718646,315.7536
18.92024,-3.154329,0.1603372,315.4329
18.94024,-3.149861,0.2234237,314.9861
18.96024,-3.144132,0.286421,314.4132
18.98024,-3.137146,0.3493036,313.7146
19.00024,-3.128905,0.4120465,312.8905
19.02024,-3.119413,0.4746246,311.9413
19.04025,-3.108673,0.5370129,310.8672
19.06025,-3.096689,0.5991863,309.6689
19.08025,-3.083467,0.6611201,308.3466
19.10025,-3.069011,0.7227894,306.9011
19.12025,-3.053327,0.7841696,305.3327
19.14025,-3.036422,0.8452362,303.6422
19.16025,-3.018303,0.9059646,301.8303
19.18025,-2.998976,0.9663306,299.8976
19.20025,-2.97845,1.02631,297.845
19.22025,-2.956733,1.085879,295.6733
19.24025,-2.933832,1.145014,293.3832
19.26025,-2.909759,1.20369,290.9759
19.28025,-2.884521,1.261886,288.4521
19.30025,-2.858129,1.319576,285.8129
19.32025,-2.830595,1.376739,283.0594
19.34025,-2.801928,1.43335,280.1927
19.36025,-2.77214,1.489389,277.214
19.38025,-2.741243,1.544832,274.1243
19.40025,-2.70925,1.599657,270.925
19.42025,-2.676173,1.653842,267.6173
19.44025,-2.642026,1.707365,264.2026
19.46025,-2.606822,1.760206,260.6822
19.48026,-2.570575,1.812342,257.0575
19.50026,-2.5333,1.863753,253.33
19.52026,-2.495012,1.914419,249.5012
19.54026,-2.455725,1.96432,245.5725
19.56026,-2.415457,2.013434,241.5457
19.58026,-2.374222,2.061743,237.4221
19.60026,-2.332037,2.109228,233.2037
19.62026,-2.28892,2.155868,228.892
19.64026,-2.244887,2.201647,224.4887
19.66026,-2.199956,2.246545,219.9956
19.68026,-2.154145,2.290544,215.4145
19.70026,-2.107472,2.333627,210.7472
19.72026,-2.059957,2.375776,205.9957
19.74026,-2.011617,2.416975,201.1617
19.76026,-1.962473,2.457208,196.2473
19.78026,-1.912544,2.496457,191.2544
19.80026,-1.86185,2.534708,186.185
19.82026,-1.810411,2.571945,181.0411
19.84026,-1.758248,2.608153,175.8248
19.86026,-1.705381,2.643318,170.5381
19.88026,-1.651833,2.677426,165.1833
19.90026,-1.597624,2.710463,159.7624
19.92027,-1.542775,2.742415,154.2775
19.94027,-1.48731,2.77327,148.731
19.96027,-1.431249,2.803017,143.125
19.98027,-1.374617,2.831642,137.4617
20.00027,-1.317434,2.859134,131.7434
20.02027,-1.259724,2.885483,125.9724
20.04027,-1.201511,2.910677,120.1511
20.06027,-1.142817,2.934707,114.2817
20.08027,-1.083665,2.957563,108.3665
20.10027,-1.024081,2.979237,102.4081
20.12027,-0.9640862,2.999718,96.40862
20.14027,-0.9037062,3.019,90.37062
20.16027,-0.8429647,3.037074,84.29647
20.18027,-0.781886,3.053933,78.18861
20.20027,-0.7204946,3.069571,72.04946
20.22027,-0.658815,3.083981,65.8815
20.24027,-0.5968719,3.097157,59.68719
20.26027,-0.53469,3.109094,53.469
20.28027,-0.4722943,3.119788,47.22943
20.30027,-0.4097096,3.129234,40.97096
20.32027,-0.3469611,3.137428,34.69611
20.34027,-0.2840737,3.144367,28.40737
20.36028,-0.2210727,3.150049,22.10727
20.38028,-0.1579833,3.15447,15.79833
20.40028,-0.09483074,3.15763,9.483073
20.42028,-0.03164021,3.159527,3.164021
20.44028,0.03156298,3.160159,-3.156298
20.46028,0.09475353,3.159528,-9.475353
20.48028,0.1579062,3.157633,-15.79062
20.50028,0.2209957,3.154475,-22.09957
20.52028,0.2839968,3.150055,-28.39968
20.54028,0.3468843,3.144375,-34.68842
20.56028,0.409633,3.137437,-40.9633
20.58028,0.4722179,3.129245,-47.22179
20.60028,0.5346138,3.1198,-53.46138
20.62028,0.596796,3.109108,-59.6796
20.64028,0.6587394,3.097172,-65.87394
20.66028,0.7204193,3.083997,-72.04193
20.68028,0.7818111,3.069589,-78.18111
20.70028,0.8428901,3.053952,-84.28902
20.72028,0.903632,3.037095,-90.3632
20.74028,0.9640125,3.019022,-96.40125
20.76028,1.024007,2.999742,-102.4007
20.78028,1.083593,2.979262,-108.3593
20.80029,1.142744,2.95759,-114.2744
20.82029,1.201439,2.934735,-120.1439
20.84029,1.259653,2.910706,-125.9653
20.86029,1.317363,2.885513,-131.7363
20.88029,1.374547,2.859166,-137.4547
20.90029,1.43118,2.831675,-143.118
20.92029,1.487241,2.803052,-148.7241
20.94029,1.542707,2.773307,-154.2707
20.96029,1.597556,2.742453,-159.7556
20.98029,1.651766,2.710501,-165.1766
