t,z(t),v(t),F(t) (added)
8.880013,2.686438,1.691013,-268.6438
8.900014,2.719184,1.637284,-271.9184
8.920014,2.750842,1.5829,-275.0842
8.940015,2.781399,1.527883,-278.1399
8.960015,2.810844,1.472255,-281.0844
8.980016,2.839165,1.416039,-283.9165
9.000016,2.86635,1.359255,-286.635
9.020017,2.892389,1.301928,-289.2389
9.040017,2.917271,1.244081,-291.7271
9.060018,2.940985,1.185735,-294.0985
9.080018,2.963524,1.126915,-296.3524
9.100019,2.984877,1.067645,-298.4877
9.120019,3.005036,1.007947,-300.5036
9.140019,3.023993,0.9478467,-302.3993
9.16002,3.04174,0.8873668,-304.174
9.18002,3.058271,0.826532,-305.8271
9.200021,3.073578,0.7653666,-307.3578
9.220021,3.087656,0.703895,-308.7656
9.240022,3.100499,0.6421419,-310.0499
9.260022,3.112102,0.5801319,-311.2102
9.280023,3.12246,0.5178899,-312.246
9.300023,3.131568,0.4554407,-313.1568
9.320024,3.139425,0.3928094,-313.9424
9.340024,3.146025,0.3300209,-314.6025
9.360024,3.151367,0.2671004,-315.1367
9.380025,3.155448,0.2040731,-315.5448
9.400025,3.158268,0.1409641,-315.8268
9.420026,3.159824,0.07779875,-315.9824
9.440026,3.160116,0.01460228,-316.0116
9.460027,3.159144,-0.04860003,-315.9144
9.480027,3.156908,-0.1117829,-315.6908
9.500028,3.15341,-0.1749211,-315.341
9.520028,3.14865,-0.2379893,-314.865
9.540029,3.142631,-0.3009623,-314.2631
9.560029,3.135354,-0.3638149,-313.5354
9.580029,3.126824,-0.426522,-312.6824
9.60003,3.117043,-0.4890584,-311.7043
9.62003,3.106015,-0.5513993,-310.6015
9.640031,3.093744,-0.6135196,-309.3744
9.660031,3.080236,-0.6753945,-308.0237
9.680032,3.065496,-0.7369992,-306.5497
9.700032,3.04953,-0.7983091,-304.953
9.720033,3.032344,-0.8592998,-303.2344
9.740033,3.013945,-0.9199467,-301.3945
9.760034,2.994341,-0.9802256,-299.4341
9.780034,2.973539,-1.040112,-297.3539
9.800035,2.951547,-1.099583,-295.1547
9.820035,2.928375,-1.158614,-292.8375
9.840035,2.904031,-1.217182,-290.4031
9.860036,2.878525,-1.275262,-287.8525
9.880036,2.851869,-1.332833,-285.1869
9.900037,2.824071,-1.38987,-282.4071
9.920037,2.795144,-1.446351,-279.5144
9.940038,2.765099,-1.502254,-276.5099
9.960038,2.733948,-1.557556,-273.3948
9.980039,2.701704,-1.612235,-270.1703
10.00004,2.668378,-1.666269,-266.8378
10.02004,2.633985,-1.719637,-263.3985
10.04004,2.598539,-1.772316,-259.8539
10.06004,2.562053,-1.824287,-256.2053
10.08004,2.524543,-1.875528,-252.4543
10.10004,2.486022,-1.926019,-248.6022
10.12004,2.446507,-1.975739,-244.6507
10.14004,2.406014,-2.024669,-240.6014
10.16004,2.364558,-2.07279,-236.4558
10.18004,2.322157,-2.120081,-232.2157
10.20004,2.278826,-2.166524,-227.8826
10.22004,2.234584,-2.212101,-223.4584
10.24004,2.189449,-2.256793,-218.9449
10.26005,2.143437,-2.300581,-214.3437
10.28005,2.096568,-2.34345,-209.6568
10.30005,2.04886,-2.385382,-204.886
10.32005,2.000333,-2.426359,-200.0333
10.34005,1.951006,-2.466366,-195.1006
10.36005,1.900898,-2.505386,-190.0898
10.38005,1.85003,-2.543404,-185.003
10.40005,1.798422,-2.580404,-179.8422
10.42005,1.746094,-2.616373,-174.6095
10.44005,1.693069,-2.651295,-169.3069
10.46005,1.639366,-2.685156,-163.9366
10.48005,1.585007,-2.717943,-158.5007
10.50005,1.530014,-2.749644,-153.0014
10.52005,1.474409,-2.780244,-147.4409
10.54005,1.418214,-2.809732,-141.8214
10.56005,1.361452,-2.838096,-136.1452
10.58005,1.304146,-2.865325,-130.4146
10.60005,1.246318,-2.891408,-124.6318
10.62005,1.187991,-2.916335,-118.7991
10.64005,1.129189,-2.940094,-112.9189
10.66005,1.069935,-2.962678,-106.9935
10.68005,1.010254,-2.984077,-101.0254
10.70006,0.9501683,-3.004282,-95.01682
10.72006,0.8897026,-3.023285,-88.97025
10.74006,0.828881,-3.04108,-82.8881
10.76006,0.7677279,-3.057657,-76.77278
10.78006,0.7062676,-3.073012,-70.62676
10.80006,0.6445249,-3.087137,-64.45248
10.82006,0.5825243,-3.100028,-58.25243
10.84006,0.5202907,-3.111678,-52.02907
10.86006,0.4578491,-3.122084,-45.7849
10.88006,0.3952242,-3.131241,-39.52242
10.90006,0.3324413,-3.139146,-33.24413
10.92006,0.2695254,-3.145794,-26.95254
10.94006,0.2065018,-3.151185,-20.65018
10.96006,0.1433955,-3.155315,-14.33955
10.98006,0.0802318,-3.158183,-8.02318
11.00006,0.01703605,-3.159787,-1.703605
11.02006,-0.04616651,-3.160128,4.616651
11.04006,-0.1093506,-3.159205,10.93506
11.06006,-0.172491,-3.157018,17.2491
11.08006,-0.2355623,-3.153568,23.55623
11.10006,-0.2985394,-3.148857,29.85394
11.12006,-0.3613971,-3.142886,36.13971
11.14007,-0.4241103,-3.135658,42.41103
11.16007,-0.4866538,-3.127176,48.66538
11.18007,-0.5490026,-3.117443,54.90026
11.20007,-0.6111319,-3.106463,61.11319
11.22007,-0.6730167,-3.09424,67.30167
11.24007,-0.7346323,-3.08078,73.46323
11.26007,-0.795954,-3.066087,79.59541
11.28007,-0.8569574,-3.050168,85.69574
11.30007,-0.917618,-3.033029,91.7618
11.32007,-0.9779116,-3.014677,97.79116
11.34007,-1.037814,-2.995119,103.7814
11.36007,-1.097301,-2.974362,109.7301
11.38007,-1.156349,-2.952416,115.6349
11.40007,-1.214935,-2.929289,121.4935
11.42007,-1.273035,-2.904991,127.3035
